ID SItio Rango_etario Sexo Formatumba Tratamiento_de_la_tumba Tratamiento_del_cuerpo Profundida_en_cm Diametro/Ancho_en_cm Orientacion Posicion_del_cuerpo Articulado Total_fragmentos_ceramicos Total_ceramica Decorada_o_con_diseño Urna_funeraria Jarras Alcarraza Ollas Copas Cuenco Múcura Total_fauna Alteraciones_artificiales_o_señales_de_uso Calcinacion Cervidae  Caviidae Canidae Felidae Ave Indeterminado Total_conchas Alteraciones_artificiales_o_señales_de_uso2 Euglandina Plekokelius_Fulminans P_Plekocheilus Bulimulidae Drymaeus_Nigrofasciatus P_Succinoides Caracol_Indeterminado Material_Vegetal_Calcinado Maiz Tusas Frijol Ramas Espigas Leguminosa Indeterminada Presencia_de_carbon Total_liticos Marcas_de_uso_o_decoraciones Lápida-lajas Ubicación Cuarzo Mano_de_moler Raspadores Lascas Perforador Desechos_de_talla Martillo Cantos_rodados Metate Nucleos Piedras_naturales Cuentas_de_collar Volantes_de_uso
Tumba_1 La_Muela Niño NA Circular Alisamiento_en_las_paredes NA 60 65 Suroccidente Sedente Articulado 11 0 NO 0 0 0 0 0 0 0 0 NO NO 0 0 0 0 0 0 1 SI 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 SI 3 NO 3 Tapando_la_tumba 0 0 0 0 0 0 0 0 0 0 0 0 0
Tumba_2 La_Muela Bebe NA Ovalada NA Huesos_con_pigmento_rojo_ 10 30 NA NA NA 0 0 NO 0 0 0 0 0 0 0 1 NO NO 1 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NO 2 SI 1 Tapando_la_tumba 0 0 0 0 0 0 0 0 0 0 0 0 0
Tumba_3 La_Muela Adulto Femenino NA Debajo_del_cuerpo_se_localizo_huellas_de_poste El_indiviuo_fue_colocado_sobre_un_piso_de_tierra_endurecida_con_una_ligera_concavidad 85 0 Oriente Sedente Articulado 408 0 NO 0 0 0 0 0 0 0 4 SI SI 4 0 0 0 0 0 4 NO 0 0 0 0 0 0 4 4 4 0 0 0 0 0 0 SI 7 NO 0 0 0 1 0 0 0 0 0 0 0 1 3 0 0
Tumba_4 La_Muela Adulto NA Ovalada NA Recubierto_con_tierra_suelta_y_ceramica 30 45 NA Decubito_lateral Articulado 38 0 NO 0 0 0 0 0 0 0 4 NO NO 2 1 0 0 0 0 1 NO 0 0 0 0 0 0 1 11 11 0 0 0 0 0 0 SI 4 NO 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
Tumba_5 La_Muela Adulto NA Ovalada Alisamiento_en_las_paredes_ Cuerpo_recubierto_con_ocre_y_terrones_endurecidos_Huesos_desordenados,_posible_entierro_secundario 10 45 NA NA NA 45 0 NO 0 0 0 0 0 0 0 2 NO NO 2 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NO 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Tumba_6 La_Muela Adulto Femenino Circular NA Femur_y_perone_con_señales_de_calcinacion 65 75 Occidente Decubito_lateral Articulado 325 1 NO 0 0 1 0 0 0 0 4 NO NO 4 0 0 0 0 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NO 8 NO 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0
Tumba_7 La_Muela Adulto_joven Masculino Circular NA Fragmentacion_de_huesos_y_señales_de_calcinacion_en_el_craneo 65 70 Oriente Sedente Articulado 139 0 NO 0 0 0 0 0 0 0 11 NO NO 8 3 0 0 0 0 4 NO 0 0 0 0 0 0 4 5 1 2 0 0 2 0 0 SI 10 NO 0 0 0 0 0 3 0 3 0 0 0 1 3 0 0
Tumba_8 La_Muela Adulto Femenino Sobreelsuelo NA Cuerpo_con_mayor_material_vegetal 0 0 Noroccidente Decubito_lateral Desatirculado 148 0 NO 0 0 0 0 0 0 0 20 NO NO 12 8 0 0 0 0 14 NO 0 1 2 5 0 3 3 29 13 10 1 2 1 1 1 SI 10 NO 0 0 0 0 0 3 0 3 0 3 0 1 0 0 0
Tumba_9 La_Muela Bebe NA Ovalada NA Presenta_huellas_de_calcinacion_Presencia_de_una_falange_de_adulto 9 30 Oriente Decubito_dorsal Desarticulado 2 1 NO 0 0 0 0 0 0 1 1 SI NO 1 0 0 0 0 0 1 NO 0 0 0 0 0 0 1 3 0 0 0 0 0 0 3 SI 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Tumba_10 La_Muela Adulto NA Ovalada Alisamiento_de_paredes_Preparacion_del_fondo_endurecimiento NA 30 65 NA NA Desarticulado 24 5 NO 0 0 0 1 3 0 1 16 SI NO 14 2 0 0 0 0 0 NO 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 SI 7 NO 0 0 0 0 1 0 0 1 0 0 0 0 0 1 2
